"Shopping Cart","Basket"
"My Cart (1 item)","My Basket (1 item)"
"My Cart (%1 items)","My Basket (%1 items)"
"My Cart","My Basket"
"You added %1 to your shopping cart.","You added %1 to your basket."
"We can't add this item to your shopping cart right now.","We can't add this item to your basket right now."
"%1 was updated in your shopping cart.","%1 was updated in your basket."
"We can't update the shopping cart.","We can't update the basket."
"Display number of items in cart","Display number of items in basket"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty basket"
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty basket"
"Shopping Cart Items","Basket Items"
"Clear Shopping Cart","Clear Basket"
"Update Shopping Cart","Update Basket"
"Update Cart","Update Basket"
"You have no items in your shopping cart.","You have no items in your basket."
"Cart Subtotal","Basket Subtotal"
"Edit Your Cart","Edit Your Basket"
"View and Edit Cart","View and Edit Basket"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the basket?"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Basket"
"My Cart Link","My Basket Link"
"Display Cart Summary","Display Basket Summary"
"Shopping Cart Sidebar","Shopping Basket Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Basket Sidebar"
"Sign In", "Account"
"My Cart", "Basket"
"Shop By", "Course type"
